window_start,window_end,experiment_id,phase,rps,p95,http_5xx_rate,cpu_sat
1777198016,1777198076,exp2_restart_20260426_120745,healthy_baseline,49.8,0.00095,0.0,0.5015075998699263
1777198031,1777198091,exp2_restart_20260426_120745,healthy_baseline,46.78921514147902,0.00095,0.0,0.561287744162074
1777198046,1777198106,exp2_restart_20260426_120745,healthy_baseline,40.17777777777777,0.00095,0.0,0.5032056244553377
1777198061,1777198121,exp2_restart_20260426_120745,healthy_baseline,33.55555555555555,0.00095,0.0,0.4873985108647351
1777198076,1777198136,exp2_restart_20260426_120745,healthy_baseline,29.999999999999996,0.00095,0.0,0.38089168767435755
1777198091,1777198151,exp2_restart_20260426_120745,healthy_baseline,29.93333333333333,0.0009500000000000001,0.0,0.30869994550087715
1777198106,1777198166,exp2_restart_20260426_120745,healthy_baseline,28.666666666666664,0.00095,0.0,0.375181239281674
1777198121,1777198181,exp2_restart_20260426_120745,healthy_baseline,28.577777777777776,0.0009500000000000001,0.0,0.39932346494950516
1777198136,1777198196,exp2_restart_20260426_120745,healthy_baseline,28.488888888888887,0.00095,0.0,0.40863524512275834
1777198151,1777198211,exp2_restart_20260426_120745,healthy_baseline,29.688888888888886,0.00095,0.0,0.3969531034884177
1777198166,1777198226,exp2_restart_20260426_120745,healthy_baseline,29.777777777777775,0.00095,0.0,0.3826307516505479
1777198181,1777198241,exp2_restart_20260426_120745,healthy_baseline,29.911111111111108,0.0009499999999999999,0.0,0.367719143059803
1777198196,1777198256,exp2_restart_20260426_120745,healthy_baseline,29.977777777777774,0.00095,0.0,0.363990428282442
1777198211,1777198271,exp2_restart_20260426_120745,healthy_baseline,29.977777777777774,0.00095,0.0,0.3570648704661921
1777198226,1777198286,exp2_restart_20260426_120745,healthy_baseline,29.999999999999996,0.00095,0.0,0.34434659105762044
1777198241,1777198301,exp2_restart_20260426_120745,healthy_baseline,29.999999999999996,0.00095,0.0,0.332961423634328
1777198256,1777198316,exp2_restart_20260426_120745,healthy_baseline,29.999999999999996,0.00095,0.0,0.32430763005150176
1777198271,1777198331,exp2_restart_20260426_120745,healthy_baseline,29.999999999999996,0.00095,0.0,0.34632863943210934
1777198286,1777198346,exp2_restart_20260426_120745,healthy_baseline,29.911111111111108,0.0009499999999999999,0.0,0.3586260680175328
1777198301,1777198361,exp2_restart_20260426_120745,healthy_baseline,29.819571593636127,0.00095,0.0,0.395367808052428
1777198316,1777198376,exp2_restart_20260426_120745,healthy_baseline,29.799999999999997,0.00095,0.0,0.3871975105527287
1777198331,1777198391,exp2_restart_20260426_120745,error_latency_fault,25.755555555555553,0.7037383177570091,0.0,0.3150160022373634
1777198346,1777198406,exp2_restart_20260426_120745,error_latency_fault,25.68626963137464,0.9326421800947867,9.840416666666666,0.3207796958410313
1777198361,1777198421,exp2_restart_20260426_120745,error_latency_fault,21.062430555555554,0.9660377358490566,15.195763888888887,0.3044662912674013
1777198376,1777198436,exp2_restart_20260426_120745,error_latency_fault,20.61484259259259,0.9750000000000001,20.61484259259259,0.29350014671155744
1777198391,1777198451,exp2_restart_20260426_120745,error_latency_fault,21.333333333333332,0.975,21.333333333333332,0.2779225032128097
1777198406,1777198466,exp2_restart_20260426_120745,error_latency_fault,21.266666666666666,0.9750000000000001,21.266666666666666,0.24863938614519937
1777198421,1777198481,exp2_restart_20260426_120745,error_latency_fault,21.111111111111107,0.975,21.111111111111107,0.28666802915004586
1777198436,1777198496,exp2_restart_20260426_120745,error_latency_fault,21.288888888888888,0.9750000000000001,21.288888888888888,0.29056312668276835
1777198451,1777198511,exp2_restart_20260426_120745,error_latency_fault,21.288888888888888,0.9750000000000001,21.288888888888888,0.2523347831269095
1777198466,1777198526,exp2_restart_20260426_120745,error_latency_fault,21.266666666666666,0.9750000000000001,21.266666666666666,0.2700096581933964
1777198481,1777198541,exp2_restart_20260426_120745,error_latency_fault,21.111111111111107,0.978525980911983,21.111111111111107,0.26544680914869634
1777198496,1777198556,exp2_restart_20260426_120745,error_latency_fault,21.066666666666663,0.9785334750265675,21.066666666666663,0.2539093713830822
1777198511,1777198571,exp2_restart_20260426_120745,error_latency_fault,21.04444444444444,0.9785372340425531,21.04444444444444,0.28177835009360364
1777198526,1777198586,exp2_restart_20260426_120745,error_latency_fault,21.22222222222222,0.9749999999999999,21.22222222222222,0.2842936290354213
1777198541,1777198601,exp2_restart_20260426_120745,error_latency_fault,21.333333333333332,0.975,21.333333333333332,0.2541653329547502
1777198556,1777198616,exp2_restart_20260426_120745,error_latency_fault,21.333333333333332,0.975,21.333333333333332,0.27029365043405573
1777198571,1777198631,exp2_restart_20260426_120745,error_latency_fault,21.199999999999996,0.9749999999999999,21.199999999999996,0.2688007899225768
1777198586,1777198646,exp2_restart_20260426_120745,error_latency_fault,21.266666666666666,0.9750000000000001,21.266666666666666,0.2729122827193594
1777198601,1777198661,exp2_restart_20260426_120745,error_latency_fault,21.333333333333332,0.975,21.333333333333332,0.2667608186387257
1777198616,1777198676,exp2_restart_20260426_120745,error_latency_fault,21.288888888888888,0.9750000000000001,21.288888888888888,0.2639414338390681
1777198631,1777198691,exp2_restart_20260426_120745,recovery,22.466666666666665,0.970053317535545,18.755555555555553,0.27857393709390044
1777198646,1777198706,exp2_restart_20260426_120745,recovery,25.4,0.9456749049429658,11.688888888888888,0.3129614152737036
1777198661,1777198721,exp2_restart_20260426_120745,recovery,28.355555555555554,0.8473684210526313,4.644444444444444,0.34656106658454816
1777198676,1777198736,exp2_restart_20260426_120745,recovery,29.977777777777774,0.0009507047477744807,0.0,0.35206258308084204
1777198691,1777198751,exp2_restart_20260426_120745,recovery,29.93333333333333,0.0009507057949479942,0.0,0.3435927613011667
1777198706,1777198766,exp2_restart_20260426_120745,recovery,29.866666666666664,0.0009507073715562173,0.0,0.33502364208919766
1777198721,1777198781,exp2_restart_20260426_120745,recovery,29.79801346576895,0.00095,0.0,0.33381993122958065
1777198736,1777198796,exp2_restart_20260426_120745,recovery,29.73333333333333,0.00095,0.0,0.34256511390798217
1777198751,1777198811,exp2_restart_20260426_120745,recovery,29.799999999999997,0.00095,0.0,0.3491760780660306
1777198766,1777198826,exp2_restart_20260426_120745,recovery,29.890881614329846,0.00095,0.0,0.35354905058435715
1777198781,1777198841,exp2_restart_20260426_120745,recovery,29.999999999999996,0.00095,0.0,0.3425680289429226
1777198796,1777198856,exp2_restart_20260426_120745,recovery,29.999999999999996,0.00095,0.0,0.3076102445002429
1777198811,1777198871,exp2_restart_20260426_120745,recovery,29.999999999999996,0.00095,0.0,0.3243003851854479
1777198826,1777198886,exp2_restart_20260426_120745,recovery,29.999999999999996,0.00095,0.0,0.36781209613854704
1777198841,1777198901,exp2_restart_20260426_120745,recovery,29.999999999999996,0.00095,0.0,0.32507100704762626
1777198856,1777198916,exp2_restart_20260426_120745,recovery,29.999999999999996,0.00095,0.0,0.34221174220073713
1777198871,1777198931,exp2_restart_20260426_120745,recovery,29.999999999999996,0.0009507042253521126,0.0,0.36817823726839205
1777198886,1777198946,exp2_restart_20260426_120745,recovery,29.93333333333333,0.0009507057949479942,0.0,0.33919876142981953
1777198901,1777198961,exp2_restart_20260426_120745,recovery,29.82222222222222,0.0009507084265473526,0.0,0.3251341615724529
1777198916,1777198976,exp2_restart_20260426_120745,recovery,29.688888888888886,0.00095,0.0,0.3691913913834307
